id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
16141034,Downtown cozy studio!,105316030,Christos,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98922,23.74225,Entire home/apt,39,2,45,2019-07-09,1.40,1,201
16142762,Lycabettus Apartment,105198543,Alexander,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.9869,23.75159,Entire home/apt,25,1,18,2019-11-09,1.26,1,76
16142802,"""Vintage Athens"" 2-bdr apartment w. huge balcony",22227167,Alexandros,,ΝΕΟΣ ΚΟΣΜΟΣ,37.96243,23.72862,Entire home/apt,44,1,88,2019-08-15,2.51,29,109
16143728,Renovated 1-bdr Loft w. Balcony & Acropolis view,22227167,Alexandros,,ΝΕΟΣ ΚΟΣΜΟΣ,37.96117,23.72933,Entire home/apt,35,1,78,2019-06-04,2.23,29,0
16144380,Rom's cute garden-flat close to Acropolis,31265707,Romina,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96255,23.72237,Entire home/apt,22,2,200,2019-11-05,5.68,3,324
16145094,Filoxenia in Athens,38732144,Nella,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98908,23.73123,Entire home/apt,45,3,15,2019-07-02,0.45,1,137
16152197,Acropolis Villa in Plaka by Jj Hospitality,55670751,Jj,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97297,23.72982,Entire home/apt,412,1,29,2019-09-09,0.95,41,160
16162030,Semedaki: Design-lovers in the heart of the city,105410837,Alexandra,,ΚΕΡΑΜΕΙΚΟΣ,37.98047,23.71617,Entire home/apt,52,2,70,2019-11-07,1.96,1,311
16169133,The Little White Flat in Athens,73897428,Chrysa,,ΠΑΓΚΡΑΤΙ,37.96609,23.74696,Entire home/apt,35,2,162,2019-11-11,4.56,1,170
16175274,Modern Downtown Flat near the Acropolis,20104194,Upstreet,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96663,23.72586,Entire home/apt,70,2,162,2019-11-03,4.53,40,173
16182499,"ALEXANDRAS AVENUE,DOWN TOWN ATHENS",105666612,Giorgos,,ΓΚΥΖΗ,37.99039,23.74756,Entire home/apt,29,2,0,,,1,322
